Experiment,Participant,Item,Order,Condition,Match,AntecedentNumber,NounGender,TargetResponseIdentical,ResponseComplete,Structure,NumberError,GenderError,OtherDifferences,Segment,Duration,Pause,Syllable
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,onset,NA,NA,NA
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,pronoun,NA,NA,NA
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,verb,NA,NA,NA
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,attractor_pronoun,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,adverb,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,antecedent,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,attractor,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,onset,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,pronoun,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,verb,NA,NA,NA
experiment1,s1,40,26,sp,mismatch,singular,masculine,FALSE,no,NA,NA,NA,NA,attractor_pronoun,NA,NA,NA
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,adverb,NA,NA,NA
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,antecedent,NA,NA,NA
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,attractor,NA,NA,NA
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,onset,NA,NA,NA
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,pronoun,NA,NA,NA
experiment1,s1,43,27,ss,match,singular,masculine,FALSE,yes,with_preposition,no,no,disfluency,verb,NA,NA,NA
