ID	Item	Time	Group	Block	TaskSwitch	RT
7	11	Baseline	Faking	Compatible	No	576
7	7	Baseline	Faking	Compatible	Yes	541
7	2	Baseline	Faking	Compatible	No	566
7	2	Baseline	Faking	Compatible	No	466
7	14	Baseline	Faking	Compatible	Yes	523
7	8	Baseline	Faking	Compatible	Yes	613
7	8	Baseline	Faking	Compatible	No	455
7	10	Baseline	Faking	Compatible	No	531
7	10	Baseline	Faking	Compatible	No	484
7	5	Baseline	Faking	Compatible	No	540
7	5	Baseline	Faking	Incompatible	Yes	788
7	6	Baseline	Faking	Incompatible	No	843
7	20	Baseline	Faking	Incompatible	Yes	1582
7	10	Baseline	Faking	Incompatible	Yes	926
7	10	Baseline	Faking	Incompatible	No	435
7	11	Baseline	Faking	Incompatible	Yes	917
7	5	Baseline	Faking	Incompatible	Yes	1250
7	15	Baseline	Faking	Incompatible	Yes	1820
7	7	Baseline	Faking	Incompatible	Yes	1466
7	8	Baseline	Faking	Incompatible	No	761
7	4	Baseline	Faking	Incompatible	No	709
7	4	Baseline	Faking	Incompatible	No	545
7	6	Baseline	Faking	Incompatible	No	1273
7	16	Baseline	Faking	Incompatible	Yes	1254
7	3	Baseline	Faking	Incompatible	Yes	1806
7	3	Baseline	Faking	Incompatible	No	630
7	20	Baseline	Faking	Incompatible	Yes	1619
7	17	Baseline	Faking	Incompatible	No	688
7	9	Baseline	Faking	Incompatible	Yes	806
7	9	Baseline	Faking	Incompatible	No	410
7	14	Baseline	Faking	Incompatible	Yes	990
7	14	Baseline	Faking	Incompatible	No	429
7	17	Baseline	Faking	Incompatible	No	602
7	12	Baseline	Faking	Incompatible	No	866
7	12	Baseline	Faking	Incompatible	No	423
7	1	Baseline	Faking	Incompatible	Yes	764
7	1	Baseline	Faking	Incompatible	No	461
7	11	Baseline	Faking	Incompatible	Yes	1220
7	2	Baseline	Faking	Incompatible	Yes	733
7	13	Baseline	Faking	Incompatible	Yes	539
7	13	Baseline	Faking	Incompatible	No	451
7	16	Baseline	Faking	Incompatible	No	655
7	7	Baseline	Faking	Incompatible	Yes	564
7	18	Baseline	Faking	Incompatible	Yes	565
7	18	Baseline	Faking	Incompatible	No	499
7	19	Baseline	Faking	Incompatible	No	562
7	19	Baseline	Faking	Incompatible	No	599
7	8	Baseline	Faking	Incompatible	Yes	834
7	15	Baseline	Faking	Incompatible	Yes	501
7	2	Baseline	Faking	Incompatible	Yes	779
7	6	Baseline	Faking	Incompatible	Yes	832
7	19	Baseline	Faking	Incompatible	Yes	1254
7	5	Baseline	Faking	Incompatible	Yes	230
7	5	Baseline	Faking	Incompatible	No	826
7	14	Baseline	Faking	Incompatible	Yes	931
7	14	Baseline	Faking	Incompatible	No	376
7	15	Baseline	Faking	Incompatible	No	697
7	15	Baseline	Faking	Incompatible	No	336
7	6	Baseline	Faking	Incompatible	Yes	1069
7	16	Baseline	Faking	Incompatible	Yes	749
7	16	Baseline	Faking	Incompatible	No	409
7	7	Baseline	Faking	Incompatible	Yes	893
7	20	Baseline	Faking	Incompatible	Yes	577
7	20	Baseline	Faking	Incompatible	No	489
7	7	Baseline	Faking	Incompatible	Yes	679
7	2	Baseline	Faking	Incompatible	No	650
7	18	Baseline	Faking	Incompatible	Yes	1336
7	1	Baseline	Faking	Incompatible	Yes	1301
7	1	Baseline	Faking	Incompatible	No	446
7	19	Baseline	Faking	Incompatible	Yes	1284
7	18	Baseline	Faking	Incompatible	No	2140
7	9	Baseline	Faking	Incompatible	Yes	658
7	9	Baseline	Faking	Incompatible	No	434
7	17	Baseline	Faking	Incompatible	Yes	1397
7	8	Baseline	Faking	Incompatible	Yes	518
7	11	Baseline	Faking	Incompatible	Yes	869
7	8	Baseline	Faking	Incompatible	Yes	1434
7	13	Baseline	Faking	Incompatible	Yes	1563
7	10	Baseline	Faking	Incompatible	Yes	1442
7	2	Baseline	Faking	Incompatible	No	661
7	11	Baseline	Faking	Incompatible	Yes	2124
7	12	Baseline	Faking	Incompatible	No	780
7	12	Baseline	Faking	Incompatible	No	375
7	13	Baseline	Faking	Incompatible	No	552
7	17	Baseline	Faking	Incompatible	No	863
7	10	Baseline	Faking	Incompatible	Yes	1389
7	3	Baseline	Faking	Incompatible	No	659
7	3	Baseline	Faking	Incompatible	No	439
7	4	Baseline	Faking	Incompatible	No	1243
7	4	Baseline	Faking	Incompatible	No	484
7	8	Retest	Faking	Compatible	Yes	1071
7	8	Retest	Faking	Compatible	No	499
7	14	Retest	Faking	Compatible	Yes	945
7	14	Retest	Faking	Compatible	No	914
7	9	Retest	Faking	Compatible	Yes	722
7	7	Retest	Faking	Compatible	No	491
7	20	Retest	Faking	Compatible	Yes	683
7	20	Retest	Faking	Compatible	No	822
7	13	Retest	Faking	Compatible	No	1176
7	3	Retest	Faking	Compatible	Yes	915
7	6	Retest	Faking	Compatible	No	795
7	6	Retest	Faking	Compatible	No	536
7	11	Retest	Faking	Compatible	Yes	660
7	18	Retest	Faking	Compatible	No	785
7	10	Retest	Faking	Compatible	Yes	817
7	17	Retest	Faking	Compatible	Yes	805
7	17	Retest	Faking	Compatible	No	723
7	16	Retest	Faking	Compatible	No	1147
7	10	Retest	Faking	Compatible	Yes	923
7	19	Retest	Faking	Compatible	Yes	1607
7	19	Retest	Faking	Compatible	No	1175
7	3	Retest	Faking	Compatible	Yes	936
7	15	Retest	Faking	Compatible	Yes	1450
7	4	Retest	Faking	Compatible	Yes	566
7	7	Retest	Faking	Compatible	No	1229
7	15	Retest	Faking	Compatible	Yes	1341
7	16	Retest	Faking	Compatible	No	1277
7	18	Retest	Faking	Compatible	No	1161
7	1	Retest	Faking	Compatible	Yes	623
7	1	Retest	Faking	Compatible	No	481
7	11	Retest	Faking	Compatible	Yes	656
7	5	Retest	Faking	Compatible	Yes	780
7	5	Retest	Faking	Compatible	No	723
7	13	Retest	Faking	Compatible	Yes	1166
7	2	Retest	Faking	Compatible	Yes	865
7	2	Retest	Faking	Compatible	No	405
7	12	Retest	Faking	Compatible	Yes	1073
7	12	Retest	Faking	Compatible	No	908
7	4	Retest	Faking	Compatible	Yes	955
7	9	Retest	Faking	Compatible	No	715
7	13	Retest	Faking	Compatible	Yes	961
7	17	Retest	Faking	Compatible	No	931
7	5	Retest	Faking	Compatible	Yes	1097
7	14	Retest	Faking	Compatible	Yes	1033
7	14	Retest	Faking	Compatible	No	1222
7	7	Retest	Faking	Compatible	Yes	739
7	7	Retest	Faking	Compatible	No	476
7	8	Retest	Faking	Compatible	No	631
7	17	Retest	Faking	Compatible	Yes	1138
7	16	Retest	Faking	Compatible	No	764
7	16	Retest	Faking	Compatible	No	1259
7	3	Retest	Faking	Compatible	Yes	1094
7	1	Retest	Faking	Compatible	No	545
7	18	Retest	Faking	Compatible	Yes	1042
